Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado
2025-07-23,Grêmio Novorizontino,1-0,Goiás,Grêmio Novorizontino,Série B 2025,V
2024-11-24,Goiás,1-0,Grêmio Novorizontino,Goiás,Série B 2024,V
2024-08-04,Grêmio Novorizontino,2-1,Goiás,Grêmio Novorizontino,Série B 2024,V
