data,mandante,mandante_nome,placar,visitante,visitante_nome,resultado_atletico_mg,rodada,competicao
2025-09-27,Atlético Mineiro,Atlético Mineiro,1-0,Mirassol,Mirassol,V,R25,Brasileirão 2025
2025-04-26,Mirassol,Mirassol,2-2,Atlético Mineiro,Atlético Mineiro,E,R6,Brasileirão 2025
