Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado (para o Mandante)
2025-07-27,Coritiba,1-1,Amazonas FC,Empate,"R19 Série B 2025",E
2024-10-13,Coritiba,3-1,Amazonas FC,Coritiba,"R31 Série B 2024",V
2024-06-25,Amazonas FC,1-0,Coritiba,Amazonas FC,"R12 Série B 2024",V
