Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado (para o Mandante)
2025-07-26,CRB,4-0,Grêmio Novorizontino,CRB,"R19 Série B 2025",V
2024-08-11,CRB,0-1,Grêmio Novorizontino,Grêmio Novorizontino,"R20 Série B 2024",D
2024-04-19,Grêmio Novorizontino,2-1,CRB,Grêmio Novorizontino,"R1 Série B 2024",V
2023-08-26,CRB,1-0,Grêmio Novorizontino,CRB,"R25 Série B 2023",V
2023-05-13,Grêmio Novorizontino,0-1,CRB,CRB,"R6 Série B 2023",D
2022-07-23,CRB,2-1,Grêmio Novorizontino,CRB,"R20 Série B 2022",V
2022-05-04,Grêmio Novorizontino,3-1,CRB,Grêmio Novorizontino,"R1 Série B 2022",V
