Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado (para o Mandante)
2025-07-27,Atlético Goianiense,0-0,Chapecoense,Empate,"R19 Série B 2025",E
2023-08-13,Chapecoense,0-1,Atlético Goianiense,Atlético Goianiense,"R23 Série B 2023",D
2023-05-02,Atlético Goianiense,2-1,Chapecoense,Atlético Goianiense,"R4 Série B 2023",V
2021-12-03,Chapecoense,0-1,Atlético Goianiense,Atlético Goianiense,"R36 Brasileirão 2021",D
2021-08-21,Atlético Goianiense,1-1,Chapecoense,Empate,"R17 Brasileirão 2021",E
2017-11-19,Atlético Goianiense,1-1,Chapecoense,Empate,"R36 Brasileirão 2017",E
2017-07-30,Chapecoense,1-2,Atlético Goianiense,Atlético Goianiense,"R17 Brasileirão 2017",D
2013-10-25,Atlético Goianiense,0-0,Chapecoense,Empate,"R32 Série B 2013",E
2013-08-06,Chapecoense,3-0,Atlético Goianiense,Chapecoense,"R13 Série B 2013",V
