Data,mandante,placar,visitante,Vencedor,Campeonato,Resultado
2025-10-10,Islândia,3-5,Ucrânia,Ucrânia,"Elim. Copa do Mundo (UEFA) 2026",V
2024-03-26,Ucrânia,2-1,Islândia,Ucrânia,"Euro (E) 2023",V
2017-09-05,Islândia,2-0,Ucrânia,Islândia,"Elim. Copa do Mundo (UEFA) 2017",D
2016-09-05,Ucrânia,1-1,Islândia,Empate,"Elim. Copa do Mundo (UEFA) 2017",E
1999-09-08,Islândia,0-1,Ucrânia,Ucrânia,"Euro (E) 2000",V
1999-03-31,Ucrânia,1-1,Islândia,Empate,"Euro (E) 2000",E
