Data,Mandante,Placar,Visitante,Vencedor,Rodada,Competição
2025-07-11,Vila Nova,0-0,Operário-PR,Empate,R16,Série B 2025
2024-08-20,Operário-PR,2-3,Vila Nova,Vila Nova,R22,Série B 2024
2024-05-04,Vila Nova,1-0,Operário-PR,Vila Nova,R3,Série B 2024
2022-09-30,Operário-PR,1-1,Vila Nova,Empate,R32,Série B 2022
2022-06-16,Vila Nova,0-0,Operário-PR,Empate,R13,Série B 2022
2021-09-28,Vila Nova,2-1,Operário-PR,Vila Nova,R27,Série B 2021
2021-06-28,Operário-PR,1-2,Vila Nova,Vila Nova,R8,Série B 2021
2019-11-08,Vila Nova,0-0,Operário-PR,Empate,R34,Série B 2019
2019-08-09,Operário-PR,1-0,Vila Nova,Operário-PR,R15,Série B 2019
