Jogo,Coluna 1,Coluna 2,Data
1,MIRASSOL/SP,PALMEIRAS/SP,Domingo
2,SPORT/PE,ATLETICO/MG,Sábado
3,VASCO DA GAMA/RJ,JUVENUDE/RS,Sábado
4,INTERNACIONAL/RS,BAHIA/BA,Sábado
5,SAO PAULO/SP,BRAGANTINO/SP,BOTAFOGO/RJ,Sábado
6,CHELSEA,WOLVES,Sábado
7,PARMA,MILAN,Sábado
8,CORINTHIANS/SP,CEARA/CE,Domingo
9,VITORIA/BA,BOTAFOGO/RJ,Domingo
10,CRUZEIRO/MG,FLUMINENSE/RJ,Domingo
11,MANCHESTER CITY, LIVERPOOL,Domingo
12,FLAMENGO/RJ,SANTO/SP,Domingo
13,VALENCIA, REAL BETIS,Domingo
14,FORTALEZA/CE,GREMIO/RS,Domingo
